code,name,type,county_code,parent_code,ico,population,area_km2,lat,lng,website,valid_from,valid_to,successor_code
508454,Badín,obec,43,,,,,,,,,,
508471,Baláže,obec,43,,,,,,,,,,
508438,Banská Bystrica,mesto,43,,,,,,,,,,
508675,Brusno,obec,43,,,,,,,,,,
508543,Dolná Mičiná,obec,43,,,,,,,,,,
508551,Dolný Harmanec,obec,43,,,,,,,,,,
508560,Donovaly,obec,43,,,,,,,,,,
508586,Dúbravica,obec,43,,,,,,,,,,
508594,Harmanec,obec,43,,,,,,,,,,
508616,Hiadeľ,obec,43,,,,,,,,,,
508632,Horná Mičiná,obec,43,,,,,,,,,,
508641,Horné Pršany,obec,43,,,,,,,,,,
508659,Hrochoť,obec,43,,,,,,,,,,
580236,Hronsek,obec,43,,,,,,,,,,
508713,Kordíky,obec,43,,,,,,,,,,
508721,Králiky,obec,43,,,,,,,,,,
557277,Kynceľová,obec,43,,,,,,,,,,
508756,Lučatín,obec,43,,,,,,,,,,
580244,Malachov,obec,43,,,,,,,,,,
508764,Medzibrod,obec,43,,,,,,,,,,
508802,Motyčky,obec,43,,,,,,,,,,
508799,Moštenica,obec,43,,,,,,,,,,
508781,Môlča,obec,43,,,,,,,,,,
557285,Nemce,obec,43,,,,,,,,,,
508837,Oravce,obec,43,,,,,,,,,,
508861,Podkonice,obec,43,,,,,,,,,,
508896,Pohronský Bukovec,obec,43,,,,,,,,,,
508918,Poniky,obec,43,,,,,,,,,,
508926,Povrazník,obec,43,,,,,,,,,,
508942,Priechod,obec,43,,,,,,,,,,
508969,Riečka,obec,43,,,,,,,,,,
508977,Sebedín-Bečov,obec,43,,,,,,,,,,
508985,Selce,obec,43,,,,,,,,,,
509001,Slovenská Ľupča,obec,43,,,,,,,,,,
509019,Staré Hory,obec,43,,,,,,,,,,
509027,Strelníky,obec,43,,,,,,,,,,
509060,Tajov,obec,43,,,,,,,,,,
557269,Turecká,obec,43,,,,,,,,,,
557293,Vlkanová,obec,43,,,,,,,,,,
508519,Čerín,obec,43,,,,,,,,,,
508748,Ľubietová,obec,43,,,,,,,,,,
509035,Špania Dolina,obec,43,,,,,,,,,,
516627,Banská Belá,obec,44,,,,,,,,,,
516643,Banská Štiavnica,mesto,44,,,,,,,,,,
516651,Banský Studenec,obec,44,,,,,,,,,,
516601,Baďan,obec,44,,,,,,,,,,
516678,Beluj,obec,44,,,,,,,,,,
516716,Dekýš,obec,44,,,,,,,,,,
516856,Ilija,obec,44,,,,,,,,,,
516953,Kozelník,obec,44,,,,,,,,,,
517071,Močiar,obec,44,,,,,,,,,,
517143,Podhorie,obec,44,,,,,,,,,,
517160,Počúvadlo,obec,44,,,,,,,,,,
517178,Prenčov,obec,44,,,,,,,,,,
516597,Svätý Anton,obec,44,,,,,,,,,,
517372,Vysoká,obec,44,,,,,,,,,,
517283,Štiavnické Bane,obec,44,,,,,,,,,,
519014,Abrahámovce,obec,56,,,,,,,,,,
519022,Andrejová,obec,56,,,,,,,,,,
519006,Bardejov,mesto,56,,,,,,,,,,
519049,Bartošovce,obec,56,,,,,,,,,,
519057,Becherov,obec,56,,,,,,,,,,
519065,Beloveža,obec,56,,,,,,,,,,
519073,Bogliarka,obec,56,,,,,,,,,,
519081,Brezov,obec,56,,,,,,,,,,
519090,Brezovka,obec,56,,,,,,,,,,
519103,Buclovany,obec,56,,,,,,,,,,
519286,Chmeľová,obec,56,,,,,,,,,,
519111,Cigeľka,obec,56,,,,,,,,,,
519138,Dubinné,obec,56,,,,,,,,,,
519154,Frička,obec,56,,,,,,,,,,
519162,Fričkovce,obec,56,,,,,,,,,,
519171,Gaboltov,obec,56,,,,,,,,,,
519189,Gerlachov,obec,56,,,,,,,,,,
519201,Hankovce,obec,56,,,,,,,,,,
519219,Harhaj,obec,56,,,,,,,,,,
519227,Hažlín,obec,56,,,,,,,,,,
519235,Hertník,obec,56,,,,,,,,,,
519243,Hervartov,obec,56,,,,,,,,,,
519251,Hrabovec,obec,56,,,,,,,,,,
519260,Hrabské,obec,56,,,,,,,,,,
519278,Hutka,obec,56,,,,,,,,,,
519294,Janovce,obec,56,,,,,,,,,,
519308,Jedlinka,obec,56,,,,,,,,,,
519341,Kobyly,obec,56,,,,,,,,,,
519359,Kochanovce,obec,56,,,,,,,,,,
519367,Komárov,obec,56,,,,,,,,,,
519375,Koprivnica,obec,56,,,,,,,,,,
519383,Kožany,obec,56,,,,,,,,,,
519405,Krivé,obec,56,,,,,,,,,,
519421,Kružlov,obec,56,,,,,,,,,,
519413,Kríže,obec,56,,,,,,,,,,
519456,Kurima,obec,56,,,,,,,,,,
519464,Kurov,obec,56,,,,,,,,,,
519430,Kučín,obec,56,,,,,,,,,,
519324,Kľušov,obec,56,,,,,,,,,,
519472,Lascov,obec,56,,,,,,,,,,
519481,Lenartov,obec,56,,,,,,,,,,
519499,Lipová,obec,56,,,,,,,,,,
519502,Livov,obec,56,,,,,,,,,,
519511,Livovská Huta,obec,56,,,,,,,,,,
519529,Lopúchov,obec,56,,,,,,,,,,
519545,Lukavica,obec,56,,,,,,,,,,
519553,Lukov,obec,56,,,,,,,,,,
519570,Malcov,obec,56,,,,,,,,,,
519588,Marhaň,obec,56,,,,,,,,,,
519600,Mikulášová,obec,56,,,,,,,,,,
519618,Mokroluh,obec,56,,,,,,,,,,
519626,Nemcovce,obec,56,,,,,,,,,,
519634,Nižná Polianka,obec,56,,,,,,,,,,
519642,Nižná Voľa,obec,56,,,,,,,,,,
519669,Nižný Tvarožec,obec,56,,,,,,,,,,
519685,Ondavka,obec,56,,,,,,,,,,
519693,Ortuťová,obec,56,,,,,,,,,,
519707,Osikov,obec,56,,,,,,,,,,
519677,Oľšavce,obec,56,,,,,,,,,,
519715,Petrová,obec,56,,,,,,,,,,
519723,Poliakovce,obec,56,,,,,,,,,,
519731,Porúbka,obec,56,,,,,,,,,,
519936,Raslavice,obec,56,,,,,,,,,,
519740,Regetovka,obec,56,,,,,,,,,,
519758,Rešov,obec,56,,,,,,,,,,
519766,Richvald,obec,56,,,,,,,,,,
519774,Rokytov,obec,56,,,,,,,,,,
519782,Smilno,obec,56,,,,,,,,,,
519791,Snakov,obec,56,,,,,,,,,,
519804,Stebnícka Huta,obec,56,,,,,,,,,,
519812,Stebník,obec,56,,,,,,,,,,
519821,Stuľany,obec,56,,,,,,,,,,
519839,Sveržov,obec,56,,,,,,,,,,
519871,Tarnov,obec,56,,,,,,,,,,
519880,Tročany,obec,56,,,,,,,,,,
518964,Vaniškovce,obec,56,,,,,,,,,,
519901,Varadka,obec,56,,,,,,,,,,
519910,Vyšná Polianka,obec,56,,,,,,,,,,
519928,Vyšná Voľa,obec,56,,,,,,,,,,
519944,Vyšný Kručov,obec,56,,,,,,,,,,
519952,Vyšný Tvarožec,obec,56,,,,,,,,,,
519961,Zborov,obec,56,,,,,,,,,,
519979,Zlaté,obec,56,,,,,,,,,,
519847,Šarišské Čierne,obec,56,,,,,,,,,,
519855,Šašová,obec,56,,,,,,,,,,
519863,Šiba,obec,56,,,,,,,,,,
528595,Bratislava-Staré Mesto,mestska_cast,1,529000,,,,,,,,,
529311,Bratislava-Podunajské Biskupice,mestska_cast,2,529000,,,,,,,,,
529320,Bratislava-Ružinov,mestska_cast,2,529000,,,,,,,,,
529338,Bratislava-Vrakuňa,mestska_cast,2,529000,,,,,,,,,
529346,Bratislava-Nové Mesto,mestska_cast,3,529000,,,,,,,,,
529354,Bratislava-Rača,mestska_cast,3,529000,,,,,,,,,
529362,Bratislava-Vajnory,mestska_cast,3,529000,,,,,,,,,
529401,Bratislava-Devín,mestska_cast,4,529000,,,,,,,,,
529371,Bratislava-Devínska Nová Ves,mestska_cast,4,529000,,,,,,,,,
529389,Bratislava-Dúbravka,mestska_cast,4,529000,,,,,,,,,
529397,Bratislava-Karlova Ves,mestska_cast,4,529000,,,,,,,,,
529419,Bratislava-Lamač,mestska_cast,4,529000,,,,,,,,,
529427,Bratislava-Záhorská Bystrica,mestska_cast,4,529000,,,,,,,,,
529443,Bratislava-Jarovce,mestska_cast,5,529000,,,,,,,,,
529460,Bratislava-Petržalka,mestska_cast,5,529000,,,,,,,,,
529494,Bratislava-Rusovce,mestska_cast,5,529000,,,,,,,,,
529435,Bratislava-Čunovo,mestska_cast,5,529000,,,,,,,,,
508446,Bacúch,obec,45,,,,,,,,,,
508462,Beňuš,obec,45,,,,,,,,,,
508489,Braväcovo,obec,45,,,,,,,,,,
508497,Brezno,mesto,45,,,,,,,,,,
557251,Bystrá,obec,45,,,,,,,,,,
508535,Dolná Lehota,obec,45,,,,,,,,,,
508578,Drábsko,obec,45,,,,,,,,,,
508608,Heľpa,obec,45,,,,,,,,,,
508624,Horná Lehota,obec,45,,,,,,,,,,
508667,Hronec,obec,45,,,,,,,,,,
508691,Jarabá,obec,45,,,,,,,,,,
508705,Jasenie,obec,45,,,,,,,,,,
508730,Lom nad Rimavicou,obec,45,,,,,,,,,,
508772,Michalová,obec,45,,,,,,,,,,
508811,Mýto pod Ďumbierom,obec,45,,,,,,,,,,
508829,Nemecká,obec,45,,,,,,,,,,
508845,Osrblie,obec,45,,,,,,,,,,
508853,Podbrezová,obec,45,,,,,,,,,,
508870,Pohorelá,obec,45,,,,,,,,,,
508888,Pohronská Polhora,obec,45,,,,,,,,,,
508900,Polomka,obec,45,,,,,,,,,,
508934,Predajná,obec,45,,,,,,,,,,
508951,Ráztoka,obec,45,,,,,,,,,,
508993,Sihla,obec,45,,,,,,,,,,
509051,Telgárt,obec,45,,,,,,,,,,
509086,Valaská,obec,45,,,,,,,,,,
509094,Vaľkovňa,obec,45,,,,,,,,,,
509124,Závadka nad Hronom,obec,45,,,,,,,,,,
508527,Čierny Balog,obec,45,,,,,,,,,,
509043,Šumiac,obec,45,,,,,,,,,,
517461,Bytča,mesto,32,,,,,,,,,,
581984,Hlboké nad Váhom,obec,32,,,,,,,,,,
517623,Hvozdnica,obec,32,,,,,,,,,,
517631,Jablonové,obec,32,,,,,,,,,,
517674,Kolárovice,obec,32,,,,,,,,,,
517691,Kotešová,obec,32,,,,,,,,,,
517798,Maršová-Rašov,obec,32,,,,,,,,,,
517861,Petrovice,obec,32,,,,,,,,,,
517895,Predmier,obec,32,,,,,,,,,,
517992,Súľov-Hradná,obec,32,,,,,,,,,,
518085,Veľké Rovné,obec,32,,,,,,,,,,
518018,Štiavnik,obec,32,,,,,,,,,,
556793,Borčany,obec,16,,,,,,,,,,
542741,Brezolupy,obec,16,,,,,,,,,,
542652,Bánovce nad Bebravou,mesto,16,,,,,,,,,,
556408,Chudá Lehota,obec,16,,,,,,,,,,
542776,Cimenná,obec,16,,,,,,,,,,
542822,Dežerice,obec,16,,,,,,,,,,
542849,Dolné Naštice,obec,16,,,,,,,,,,
542857,Dubnička,obec,16,,,,,,,,,,
542873,Dvorec,obec,16,,,,,,,,,,
542890,Haláčovce,obec,16,,,,,,,,,,
542920,Horné Naštice,obec,16,,,,,,,,,,
543080,Krásna Ves,obec,16,,,,,,,,,,
543136,Kšinná,obec,16,,,,,,,,,,
556360,Libichava,obec,16,,,,,,,,,,
505072,Malá Hradná,obec,16,,,,,,,,,,
505102,Malé Hoste,obec,16,,,,,,,,,,
505153,Miezgovce,obec,16,,,,,,,,,,
505200,Nedašovce,obec,16,,,,,,,,,,
505277,Omastiná,obec,16,,,,,,,,,,
556289,Otrhánky,obec,16,,,,,,,,,,
505331,Pečeňany,obec,16,,,,,,,,,,
556742,Pochabany,obec,16,,,,,,,,,,
505358,Podlužany,obec,16,,,,,,,,,,
505382,Pravotice,obec,16,,,,,,,,,,
505412,Prusy,obec,16,,,,,,,,,,
505447,Ruskovce,obec,16,,,,,,,,,,
505455,Rybany,obec,16,,,,,,,,,,
505471,Slatina nad Bebravou,obec,16,,,,,,,,,,
505480,Slatinka nad Bebravou,obec,16,,,,,,,,,,
505579,Timoradza,obec,16,,,,,,,,,,
505595,Trebichava,obec,16,,,,,,,,,,
505625,Uhrovec,obec,16,,,,,,,,,,
505633,Uhrovské Podhradie,obec,16,,,,,,,,,,
505692,Veľké Chlievany,obec,16,,,,,,,,,,
545651,Veľké Držkovce,obec,16,,,,,,,,,,
505684,Veľké Hoste,obec,16,,,,,,,,,,
505765,Vysočany,obec,16,,,,,,,,,,
505790,Zlatníky,obec,16,,,,,,,,,,
542806,Čierna Lehota,obec,16,,,,,,,,,,
505056,Ľutov,obec,16,,,,,,,,,,
505552,Šišov,obec,16,,,,,,,,,,
505544,Šípkov,obec,16,,,,,,,,,,
505811,Žitná-Radiša,obec,16,,,,,,,,,,
518263,Detva,mesto,46,,,,,,,,,,
518271,Detvianska Huta,obec,46,,,,,,,,,,
518379,Dúbravy,obec,46,,,,,,,,,,
518450,Horný Tisovník,obec,46,,,,,,,,,,
518468,Hriňová,mesto,46,,,,,,,,,,
518492,Klokoč,obec,46,,,,,,,,,,
580520,Korytárky,obec,46,,,,,,,,,,
518549,Kriváň,obec,46,,,,,,,,,,
511510,Látky,obec,46,,,,,,,,,,
511731,Podkriváň,obec,46,,,,,,,,,,
518794,Slatinské Lazy,obec,46,,,,,,,,,,
518816,Stará Huta,obec,46,,,,,,,,,,
518824,Stožok,obec,46,,,,,,,,,,
518921,Vígľaš,obec,46,,,,,,,,,,
518930,Vígľašská Huta-Kalinka,obec,46,,,,,,,,,,
580813,Bziny,obec,34,,,,,,,,,,
509698,Chlebnice,obec,34,,,,,,,,,,
509639,Dlhá nad Oravou,obec,34,,,,,,,,,,
509540,Dolný Kubín,mesto,34,,,,,,,,,,
509671,Horná Lehota,obec,34,,,,,,,,,,
509701,Istebné,obec,34,,,,,,,,,,
509710,Jasenová,obec,34,,,,,,,,,,
509744,Kraľovany,obec,34,,,,,,,,,,
509761,Krivá,obec,34,,,,,,,,,,
509787,Leštiny,obec,34,,,,,,,,,,
509825,Malatiná,obec,34,,,,,,,,,,
509833,Medzibrodie nad Oravou,obec,34,,,,,,,,,,
509922,Oravská Poruba,obec,34,,,,,,,,,,
509957,Oravský Podzámok,obec,34,,,,,,,,,,
509965,Osádka,obec,34,,,,,,,,,,
509990,Pokryváč,obec,34,,,,,,,,,,
510009,Pribiš,obec,34,,,,,,,,,,
510017,Pucov,obec,34,,,,,,,,,,
509973,Párnica,obec,34,,,,,,,,,,
510041,Sedliacka Dubová,obec,34,,,,,,,,,,
510165,Veličná,obec,34,,,,,,,,,,
510181,Vyšný Kubín,obec,34,,,,,,,,,,
510211,Zázrivá,obec,34,,,,,,,,,,
510254,Žaškov,obec,34,,,,,,,,,,
501450,Baka,obec,9,,,,,,,,,,
501468,Baloň,obec,9,,,,,,,,,,
555517,Bellova Ves,obec,9,,,,,,,,,,
501484,Blahová,obec,9,,,,,,,,,,
501492,Blatná na Ostrove,obec,9,,,,,,,,,,
503461,Bodíky,obec,9,,,,,,,,,,
501506,Boheľov,obec,9,,,,,,,,,,
501441,Báč,obec,9,,,,,,,,,,
501549,Dobrohošť,obec,9,,,,,,,,,,
501557,Dolný Bar,obec,9,,,,,,,,,,
501611,Dolný Štál,obec,9,,,,,,,,,,
501433,Dunajská Streda,mesto,9,,,,,,,,,,
